refSeq_name	chrom	strand	start	end	symbol_name
NM_018216	chr1	-	2508530	2526628	PANK4
NM_001010926	chr1	-	2528744	2530245	HES5
NR_037844	chr1	-	2549919	2557011	TNFRSF14-AS1
NM_001297605	chr1	+	2556364	2565622	TNFRSF14
NM_003820	chr1	+	2556364	2565622	TNFRSF14
NR_121638	chr1	+	2566534	2584534	LOC100996583
NR_036637	chr1	+	2586459	2591469	FAM213B
NR_036638	chr1	+	2586459	2591469	FAM213B
NM_152371	chr1	+	2586749	2591469	FAM213B
NM_001195738	chr1	+	2586749	2591469	FAM213B
NM_001195737	chr1	+	2586749	2591469	FAM213B
NM_001195736	chr1	+	2586749	2591469	FAM213B
NM_001195741	chr1	+	2586749	2591469	FAM213B
NM_001195740	chr1	+	2586749	2591469	FAM213B
NM_033467	chr1	-	2590641	2633042	MMEL1
NM_001242672	chr1	-	2641367	2789665	TTC34
NM_080431	chr1	+	3021481	3022903	ACTRT2
NR_015440	chr1	-	3059616	3067725	LINC00982
NR_024371	chr1	-	3064071	3067725	LINC00982
NM_022114	chr1	+	3069177	3438621	PRDM16
NM_199454	chr1	+	3069177	3438621	PRDM16
NR_036215	chr1	+	3127974	3128035	MIR4251
NM_014448	chr1	+	3454582	3481113	ARHGEF16
NM_001409	chr1	-	3487941	3611495	MEGF6
NR_030277	chr1	-	3560695	3560790	MIR551A
NM_182752	chr1	+	3624991	3630130	TPRG1L
NM_017818	chr1	-	3630766	3650107	WRAP73
NM_001204185	chr1	+	3652564	3736201	TP73
NM_001204184	chr1	+	3652564	3736201	TP73
NM_005427	chr1	+	3652564	3736201	TP73
NM_001204187	chr1	+	3652564	3736201	TP73
NM_001204186	chr1	+	3652564	3736201	TP73
NM_001204188	chr1	+	3652564	3736201	TP73
NM_001126241	chr1	+	3690671	3736201	TP73
NM_001126242	chr1	+	3690671	3736201	TP73
NM_001126240	chr1	+	3690671	3736201	TP73
NM_001204191	chr1	+	3690671	3736201	TP73
NM_001204190	chr1	+	3690671	3736201	TP73
NM_001204189	chr1	+	3690671	3736201	TP73
NM_001204192	chr1	+	3698045	3736201	TP73
NR_033712	chr1	-	3735983	3746771	TP73-AS1
NR_033710	chr1	-	3735983	3747373	TP73-AS1
NR_033708	chr1	-	3735983	3747373	TP73-AS1
NR_033711	chr1	-	3735983	3747373	TP73-AS1
NR_033709	chr1	-	3735983	3747373	TP73-AS1
NM_152492	chr1	+	3752400	3771645	CCDC27
NM_001288583	chr1	+	3772760	3775982	SMIM1
NM_001163724	chr1	+	3772786	3775982	SMIM1
NM_020710	chr1	-	3780219	3796504	LRRC47
NM_014704	chr1	-	3812080	3857233	CEP104
NR_135152	chr1	+	3857266	3885429	DFFB
NR_104222	chr1	+	3857266	3885429	DFFB
NM_001320136	chr1	+	3857266	3885429	DFFB
NM_001282669	chr1	+	3857266	3885429	DFFB
NR_135150	chr1	+	3857266	3885429	DFFB
NM_001320132	chr1	+	3857266	3885429	DFFB
NM_004402	chr1	+	3857266	3885429	DFFB
NR_135151	chr1	+	3857266	3885429	DFFB
NM_207356	chr1	-	3889132	3900293	C1orf174
NR_024455	chr1	+	3900403	3915447	LINC01134
NR_040065	chr1	+	3940611	3952583	LINC01346
NR_147024	chr1	-	3947148	3948980	LINC01345
NR_027088	chr1	+	4412050	4424684	LINC01777
NR_147025	chr1	+	4571486	4583704	LINC01646
NM_001042478	chr1	+	4655044	4777794	AJAP1
NM_018836	chr1	+	4655044	4783791	AJAP1
NR_039612	chr1	+	5564070	5564143	MIR4417
NR_039838	chr1	-	5862671	5862741	MIR4689
NM_001291594	chr1	-	5862807	5992473	NPHP4
NM_001291593	chr1	-	5862807	5992473	NPHP4
NR_111987	chr1	-	5862807	5992473	NPHP4
NM_015102	chr1	-	5862807	5992473	NPHP4
NM_001199861	chr1	+	5992297	6101193	KCNAB2
NM_003636	chr1	+	6026012	6101193	KCNAB2
NM_172130	chr1	+	6026012	6101193	KCNAB2
NM_001199860	chr1	+	6034287	6101193	KCNAB2
NM_001199862	chr1	+	6045920	6101193	KCNAB2
NM_001199863	chr1	+	6046113	6101193	KCNAB2
NM_015557	chr1	-	6101786	6180134	CHD5
NM_000983	chr1	-	6185019	6199619	RPL22
NR_125997	chr1	-	6204839	6205780	LOC102724450
NM_207396	chr1	+	6206128	6221299	RNF207
NM_012405	chr1	-	6221192	6235984	ICMT
NR_103534	chr1	+	6236239	6239442	LINC00337
NM_001024598	chr1	+	6244191	6245578	HES3
NM_207370	chr1	-	6247345	6260975	GPR153
NM_181866	chr1	-	6264271	6358944	ACOT7
NM_181865	chr1	-	6264271	6360704	ACOT7
NM_181864	chr1	-	6264271	6385823	ACOT7
NM_007274	chr1	-	6264271	6393766	ACOT7
NM_019089	chr1	-	6415233	6419919	HES2
NM_031475	chr1	+	6424787	6460944	ESPN
NR_036218	chr1	-	6429833	6429896	MIR4252
NM_003790	chr1	-	6461153	6466195	TNFRSF25
NM_148967	chr1	-	6461153	6466195	TNFRSF25
NM_148966	chr1	-	6461153	6466195	TNFRSF25
NM_148965	chr1	-	6461153	6466195	TNFRSF25
NM_148970	chr1	-	6461153	6466195	TNFRSF25
NM_001039664	chr1	-	6464110	6466195	TNFRSF25
NM_001265593	chr1	-	6466091	6485469	PLEKHG5
NM_001042665	chr1	-	6466091	6485954	PLEKHG5
NM_001042664	chr1	-	6466091	6490580	PLEKHG5
NM_001265594	chr1	-	6466091	6490594	PLEKHG5
NM_020631	chr1	-	6466091	6491701	PLEKHG5
NM_001265592	chr1	-	6466091	6497096	PLEKHG5
NM_001042663	chr1	-	6466091	6497424	PLEKHG5
NM_198681	chr1	-	6466091	6520061	PLEKHG5
NM_024654	chr1	-	6521346	6554598	NOL9
NM_177540	chr1	+	6555277	6579757	TAS1R1
NM_138697	chr1	+	6555277	6579757	TAS1R1
NM_005341	chr1	+	6579990	6589280	ZBTB48
NM_001278647	chr1	+	6579990	6589280	ZBTB48
NM_001278648	chr1	+	6579990	6589280	ZBTB48
NM_014851	chr1	-	6590723	6602898	KLHL21
NM_001324309	chr1	-	6590723	6602898	KLHL21
NM_153812	chr1	+	6613695	6624033	PHF13
NM_001195753	chr1	+	6624864	6633582	THAP3
NM_001195752	chr1	+	6625149	6633582	THAP3
NM_138350	chr1	+	6625149	6635586	THAP3
NM_018198	chr1	-	6634167	6701906	DNAJC11
NR_104620	chr1	+	6724744	6730012	LINC01672
NR_104621	chr1	+	6727526	6730012	LINC01672
NR_149049	chr1	-	6783891	6784980	CAMTA1-DT
NR_146204	chr1	+	6785323	6872047	CAMTA1
NM_001349627	chr1	+	6785323	6872047	CAMTA1
NM_001195563	chr1	+	6785323	6872047	CAMTA1
NR_146202	chr1	+	6785323	6888201	CAMTA1
NR_146203	chr1	+	6785323	6888201	CAMTA1
NM_001242701	chr1	+	6785323	6888201	CAMTA1
NR_038934	chr1	+	6785323	6888201	CAMTA1
NM_001349609	chr1	+	6785323	7769706	CAMTA1
NM_001349610	chr1	+	6785323	7769706	CAMTA1
NM_015215	chr1	+	6785323	7769706	CAMTA1
NM_001349608	chr1	+	6785323	7769706	CAMTA1
NM_001349612	chr1	+	6785323	7769706	CAMTA1
NR_146199	chr1	-	7382486	7389754	LOC102725193
NR_146200	chr1	-	7388182	7389754	LOC102725193
NR_146201	chr1	-	7388182	7389754	LOC102725193
NM_001349623	chr1	+	7669729	7769706	CAMTA1
NM_001349621	chr1	+	7669729	7769706	CAMTA1
NM_001349614	chr1	+	7669729	7769706	CAMTA1
NM_001349620	chr1	+	7669729	7769706	CAMTA1
NM_001349625	chr1	+	7669743	7769706	CAMTA1
NM_001349617	chr1	+	7669764	7769706	CAMTA1
NM_001349613	chr1	+	7680087	7769706	CAMTA1
NM_001349618	chr1	+	7704804	7769706	CAMTA1
NM_001349624	chr1	+	7704804	7769706	CAMTA1
NM_001349626	chr1	+	7704837	7769706	CAMTA1
NM_001349615	chr1	+	7704844	7769706	CAMTA1
NM_001349619	chr1	+	7704852	7769706	CAMTA1
NM_001349616	chr1	+	7704857	7769706	CAMTA1
NM_001349622	chr1	+	7704863	7769706	CAMTA1
NM_004781	chr1	+	7771268	7781432	VAMP3
NM_001289864	chr1	+	7784428	7845180	PER3
NM_001289863	chr1	+	7784428	7845180	PER3
NM_001289862	chr1	+	7784428	7845180	PER3
NM_016831	chr1	+	7784428	7845180	PER3
NM_001289861	chr1	+	7784428	7845180	PER3
NM_006786	chr1	-	7847611	7853044	UTS2
NM_021995	chr1	-	7847611	7853491	UTS2
NM_001561	chr1	-	7915870	7943165	TNFRSF9
NM_007262	chr1	+	7961653	7985282	PARK7
NM_001123377	chr1	+	7961653	7985282	PARK7
NM_018948	chr1	-	8011718	8026333	ERRFI1
NR_125998	chr1	+	8208671	8215208	LINC01714
NM_001080397	chr1	+	8318084	8344167	SLC45A1
NM_001042682	chr1	-	8352403	8423687	RERE
NM_012102	chr1	-	8352403	8817640	RERE
NM_001042681	chr1	-	8352403	8817640	RERE
NR_125999	chr1	+	8424644	8435016	LOC102724552
NR_132752	chr1	-	8494799	8494913	SNORD128
NM_001353346	chr1	-	8861001	8878686	ENO1
NM_001428	chr1	-	8861001	8878686	ENO1
NM_001201483	chr1	-	8861001	8878686	ENO1
NR_106786	chr1	-	8866501	8866590	MIR6728
NR_038351	chr1	+	8878834	8879884	ENO1-AS1
NM_001270500	chr1	+	8945833	8974444	CA6
NM_001215	chr1	+	8945833	8975089	CA6
NM_001270502	chr1	+	8945833	8975089	CA6
NM_001270501	chr1	+	8945833	8975089	CA6
NM_207420	chr1	-	9003299	9026345	SLC2A7
NM_003039	chr1	-	9036945	9069828	SLC2A5
NM_001328621	chr1	-	9036945	9069828	SLC2A5
NM_001328620	chr1	-	9036945	9069828	SLC2A5
NM_001328619	chr1	-	9036945	9072227	SLC2A5
NM_001135585	chr1	-	9041367	9069828	SLC2A5
NM_024980	chr1	-	9104416	9129170	GPR157
NR_132742	chr1	-	9148010	9182338	MIR34AHG
NR_029610	chr1	-	9151667	9151777	MIR34A
NR_132738	chr1	+	9182203	9192085	LINC01759
NM_004285	chr1	+	9234803	9271335	H6PD
NM_001282587	chr1	+	9239843	9271335	H6PD
NM_025106	chr1	+	9292881	9369531	SPSB1
NR_104623	chr1	-	9425093	9428916	LOC100506022
NR_104622	chr1	-	9425093	9428996	LOC100506022
NM_032315	chr1	+	9539468	9582773	SLC25A33
NM_001010866	chr1	+	9588873	9604962	TMEM201
NM_001130924	chr1	+	9588873	9614877	TMEM201
NM_005026	chr1	+	9651730	9728922	PIK3CD
NR_027045	chr1	-	9652609	9654586	PIK3CD-AS1
NR_126366	chr1	-	9672425	9687574	PIK3CD-AS2
NR_126367	chr1	-	9672425	9687574	PIK3CD-AS2
NR_126368	chr1	-	9680844	9687574	PIK3CD-AS2
NM_001350234	chr1	+	9689544	9728922	PIK3CD
NM_001350235	chr1	+	9691466	9728922	PIK3CD
NM_014944	chr1	-	9729020	9824526	CLSTN1
NM_001302883	chr1	-	9729020	9824526	CLSTN1
NM_001009566	chr1	-	9729020	9824526	CLSTN1
NM_020248	chr1	-	9848275	9910258	CTNNBIP1
NM_001012329	chr1	-	9848275	9910258	CTNNBIP1
NM_001316975	chr1	-	9922112	9943427	LZIC
NM_032368	chr1	-	9926297	9943427	LZIC
NM_001316976	chr1	-	9926297	9943427	LZIC
NM_001316974	chr1	-	9926297	9943427	LZIC
NM_001316973	chr1	-	9926297	9943427	LZIC
NM_001297778	chr1	+	9942922	9985498	NMNAT1
NM_001297779	chr1	+	9943427	9981766	NMNAT1
NM_022787	chr1	+	9943427	9985498	NMNAT1
NR_049882	chr1	+	9967380	9967458	MIR5697
NR_138250	chr1	+	9997196	10016020	RBP7
NM_052960	chr1	+	9997196	10016020	RBP7
NM_006048	chr1	+	10032982	10181238	UBE4B
NM_001105562	chr1	+	10032982	10181238	UBE4B
NM_183416	chr1	+	10210705	10308597	KIF1B
NM_015074	chr1	+	10210705	10381603	KIF1B
NR_036176	chr1	+	10227717	10227803	MIR1273D
NR_004394	chr1	+	10298965	10299070	RNU6-1
NR_125730	chr1	+	10298965	10299070	RNU6-2
NR_104088	chr1	+	10298965	10299070	RNU6-8
NR_104084	chr1	+	10298965	10299070	RNU6-7
NR_104080	chr1	+	10298965	10299070	RNU6-9
NM_002631	chr1	+	10398991	10420511	PGD
NM_001304451	chr1	+	10398991	10420511	PGD
NM_001304452	chr1	+	10399117	10420511	PGD
NM_199294	chr1	+	10430101	10442815	CENPS
NM_001270517	chr1	+	10430101	10452003	CENPS-CORT
NM_198544	chr1	+	10430101	10452003	CENPS-CORT
NM_199006	chr1	+	10430101	10452003	CENPS-CORT
NR_036462	chr1	+	10430746	10442815	CENPS
NM_001243768	chr1	+	10430746	10452003	CENPS-CORT
NR_037187	chr1	+	10430746	10452003	CENPS-CORT
NM_001302	chr1	+	10449718	10452003	CORT
NM_004401	chr1	-	10460545	10472556	DFFA
NM_213566	chr1	-	10460545	10472556	DFFA
NM_004565	chr1	+	10474945	10630761	PEX14
NM_001079843	chr1	-	10636605	10796676	CASZ1
NM_017766	chr1	-	10647205	10796676	CASZ1
NM_001170754	chr1	-	10946472	10982037	C1orf127
NM_007375	chr1	+	11012621	11025492	TARDBP
NM_006610	chr1	-	11026522	11047239	MASP2
NM_139208	chr1	-	11044797	11047239	MASP2
NM_003132	chr1	-	11054591	11060034	SRM
NM_002685	chr1	-	11066612	11099910	EXOSC10
NM_001001998	chr1	-	11066612	11099910	EXOSC10
NR_135061	chr1	+	11099674	11102106	LOC105376736
NR_135062	chr1	+	11099674	11102106	LOC105376736
NR_135063	chr1	+	11100018	11102106	LOC105376736
NM_004958	chr1	-	11106530	11262551	MTOR
NR_046600	chr1	+	11143897	11149538	MTOR-AS1
NM_021146	chr1	+	11189288	11195981	ANGPTL7
NM_013319	chr1	+	11273197	11288434	UBIAD1
NM_001330350	chr1	+	11273197	11299571	UBIAD1
NM_001330349	chr1	+	11273197	11299571	UBIAD1
NM_020780	chr1	+	11479237	11537583	DISP3
NR_104624	chr1	+	11609530	11613354	LINC01647
NM_012168	chr1	-	11648360	11654831	FBXO2
NM_001304791	chr1	+	11654374	11663327	FBXO44
NM_183412	chr1	+	11654374	11663327	FBXO44
NM_001330355	chr1	+	11654856	11663327	FBXO44
NR_130909	chr1	+	11654856	11663327	FBXO44
NM_001304790	chr1	+	11654856	11663327	FBXO44
NM_033182	chr1	+	11654856	11663327	FBXO44
NM_183413	chr1	+	11654856	11663327	FBXO44
NM_001014765	chr1	+	11654856	11663327	FBXO44
NM_018438	chr1	+	11664092	11674352	FBXO6
NM_006341	chr1	-	11674479	11681214	MAD2L2
NM_001127325	chr1	-	11674479	11691621	MAD2L2
NM_198545	chr1	+	11691723	11720279	DRAXIN
NM_020350	chr1	+	11736084	11750771	AGTRAP
NM_001040197	chr1	+	11736084	11750771	AGTRAP
NM_001040196	chr1	+	11736084	11750771	AGTRAP
NM_001040195	chr1	+	11736084	11750771	AGTRAP
NM_001040194	chr1	+	11736084	11750771	AGTRAP
NM_001010881	chr1	+	11762192	11789585	C1orf167
NR_126000	chr1	-	11777076	11779619	LOC102724659
NM_001330358	chr1	-	11785729	11803677	MTHFR
NM_005957	chr1	-	11785729	11806103	MTHFR
NM_001286	chr1	+	11806095	11843144	CLCN6
NR_046428	chr1	+	11806095	11843144	CLCN6
NM_001256959	chr1	+	11806095	11843144	CLCN6
NR_037806	chr1	+	11840318	11847616	NPPA-AS1
NM_006172	chr1	-	11845709	11847783	NPPA
NM_002521	chr1	-	11857463	11858935	NPPB
NR_002754	chr1	+	11908153	11908272	RNU5E-1
NM_138346	chr1	-	11919587	11926428	KIAA2013
NM_001316320	chr1	+	11934666	11975542	PLOD1
NM_000302	chr1	+	11934666	11975542	PLOD1
NM_014874	chr1	+	11980180	12013515	MFN2
NM_001127660	chr1	+	11980180	12013515	MFN2
NM_021933	chr1	+	12019241	12032049	MIIP
NR_106787	chr1	+	12029157	12029222	MIR6729
NM_001281430	chr1	+	12063376	12144207	TNFRSF8
NM_001243	chr1	+	12063376	12144207	TNFRSF8
NR_107000	chr1	+	12166942	12167038	MIR7846
NM_001066	chr1	+	12167002	12209220	TNFRSF1B
NR_039775	chr1	+	12191712	12191773	MIR4632
NM_018156	chr1	+	12230038	12512046	VPS13D
NM_015378	chr1	+	12230038	12512046	VPS13D
NR_003022	chr1	+	12507245	12507397	SNORA59B
NR_003025	chr1	+	12507245	12507397	SNORA59A
NM_001324370	chr1	-	12567909	12596396	DHRS3
NM_001319225	chr1	-	12567909	12616784	DHRS3
NM_004753	chr1	-	12567909	12617731	DHRS3
NR_106788	chr1	-	12578956	12579023	MIR6730
NM_001013630	chr1	+	12644546	12667086	AADACL4
NR_111984	chr1	+	12716114	12728759	AADACL3
NM_001103170	chr1	+	12716114	12728759	AADACL3
